Fatal_1 Fatal_2 Fatal_3 Survivor_1 Survivor_2 Survivor_3
TCF23 0 0 0 0 1 0
PBLD 127 88 122 209 311 238
SERPINF1 7 6 8 24 6 10
GHSR 4 3 4 0 0 0
VSIG1 9 6 5 109 41 23
VPS26B 279 217 184 258 296 184
HSPA14 894 752 1187 1018 1074 587
PGPEP1 102 92 106 29 57 20
ZC3H7A 6051 6424 7921 1496 1600 649
SREBF2 427 524 459 162 189 98
SREBF1 122 168 110 16 23 21
SLC48A1 67 38 41 16 26 7
STAC 0 3 0 0 0 2
CIC 157 189 126 13 52 26
FBXO45 40 47 30 23 12 18
IL27RA 35 44 23 290 284 518
RAB39B 6 8 4 2 3 5
RAB39A 27 4 59 51 114 53
FBXO44 67 27 16 8 14 7
SSRP1 197 178 109 362 369 264
AKR1D1 1 1 1 2 0 0
IL12A 6 7 11 0 0 0
TMEM26 3 2 3 83 39 0
IRAK1BP1 7 16 3 39 42 12
FBXO46 7 4 3 0 1 1
UNC45B 3 1 6 4 2 2
TSSK3 42 51 60 12 8 24
TERF2IP 560 451 562 297 303 313
TAF6L 16 20 14 16 20 50
DAO 1 0 0 1 0 0
TATDN3 61 36 85 68 134 41
THPO 0 3 5 0 0 0
N4BP2 635 436 546 1475 1202 735
INTS10 401 353 468 581 624 288
ASPHD2 81 49 57 29 71 30
MTA1 32 38 28 26 25 10
MTA2 648 430 520 870 1122 703
RBBP8NL 0 0 0 0 0 0
LRP10 952 1013 899 99 208 164
LRP11 127 75 77 334 507 284
LRP12 45 17 17 23 25 64
SRI 2266 1788 2275 619 842 448
EGFLAM 0 3 3 2 1 0
PRPS1L1 0 0 1 0 1 0
GAPDHS 14 17 8 22 12 19
GPC1 2 3 0 1 1 1
GPC2 100 111 118 37 48 58
GPC3 3 6 4 0 0 0
GPC4 35 25 20 24 39 31
GPC5 1 1 0 0 0 0
TBCD 197 136 286 542 1014 435
MTAP 58 40 26 215 217 121
BICD2 1109 1019 1179 641 833 617
BICD1 24 28 20 80 66 32
SEC22C 80 82 152 105 103 100
SEC22A 132 119 133 98 124 82
BBS5 4 15 2 38 49 31
BBS7 299 215 371 386 286 240
ANKDD1A 157 206 204 3 0 9
ANKDD1B 130 58 241 112 160 78
DCT 1 6 2 4 0 0
ESM1 9 4 6 0 1 0
NYX 0 0 0 0 0 0
INSL6 19 9 10 0 0 0
AGK 11091 8692 11444 661 814 231
NIPA2 1611 1231 1781 744 1006 485
SSFA2 5914 4850 6443 1726 2410 797
AGA 231 203 267 197 266 195
CELA2B 0 0 0 0 0 0
KLC4 180 161 175 43 43 39
PDCD11 208 178 160 430 416 360
SLC50A1 248 234 308 128 167 81
CRKL 763 570 861 869 1001 728
SLC28A2 3 0 3 1 5 0
SLC28A3 30 9 4 28 8 3
PIK3CB 3106 2334 2510 2163 2514 1397
GPR183 319 259 203 2247 1966 2657
PRNP 707 447 599 1398 1602 645
PIK3CG 3796 2392 4963 1978 1744 812
ZSWIM5 41 12 28 48 56 20
ZSWIM7 28 27 18 54 40 21
ZSWIM2 1 0 1 1 0 0
TMEM59 3846 2827 4631 2281 3003 1398
TMEM56 1057 823 658 14783 24799 1248
TMEM57 869 576 682 930 981 509
SCLY 43 37 17 32 37 13
ZSWIM8 1124 1080 996 177 314 241
TMEM53 145 130 222 43 66 35
TSPO2 38 33 20 4 27 20
ENKD1 6 11 7 4 4 0
DIMT1 234 94 92 854 554 465
FAM222B 19 38 14 8 6 7
GSC2 0 0 0 0 0 0
FAM98B 81 64 49 215 235 72
POLR3GL 61 76 65 73 72 33
MEN1 59 53 41 11 9 10
FAM71D 1 2 2 6 1 0
PIK3C3 1361 1164 1738 1594 1592 793
AKIRIN2 712 486 570 293 288 227
PRRG4 91 99 138 43 129 52
CPSF4L 1 3 0 1 0 3
ZNF675 374 356 453 355 238 272
ZNF674 85 76 94 120 109 64
ZNF671 310 299 204 288 187 201
SNN 1273 1179 938 460 535 482
PARP14 20185 19506 27810 4575 4539 2004
PARP15 930 601 1044 521 469 208
PARP12 1799 1779 2323 411 413 196
PARP10 0 0 0 0 0 0
ZNF678 14 15 26 115 96 28
PLXDC1 22 8 27 1 5 5
CHMP5 2642 1863 3493 712 974 474
FIGF 4 0 0 0 0 3
ALDH3A2 2152 3147 1213 824 1814 384
ALDH3A1 1 0 1 0 0 0
MGST1 30 23 17 8 47 23
EDC4 363 362 309 151 252 232
SEMA4B 230 259 168 167 164 417
ATXN3L 5 7 8 7 7 7
SEMA4C 46 31 34 0 4 5
CSDE1 13054 9936 13828 10721 10012 5042
ZNF454 1 1 5 8 7 2
BACH2 284 752 193 685 404 579
PAM16 6 4 4 7 8 24
LSR 7 3 5 6 3 12
WSB1 4174 3750 6556 2376 2549 932
RASEF 6 5 8 2 2 0
SLC35D3 2 1 2 0 0 10
JAGN1 101 107 70 152 133 82
KCNIP3 23 24 6 0 1 39
KCNIP2 46 22 16 25 9 9
KCNIP1 1 0 1 1 0 0
AGPAT2 64 59 91 1 9 17
PRSS55 8 5 4 0 0 1
PRSS54 1 2 0 1 1 0
PRSS57 1 3 0 0 1 4
PRSS50 0 0 0 0 1 0
HAND1 2 0 0 0 0 0
MPV17 76 91 84 85 85 83
LIN28A 1 0 2 0 0 0
MOGAT2 7 7 0 0 1 0
MOGAT3 0 2 0 0 0 0
MOGAT1 1 1 0 0 0 0
ANAPC1 276 230 178 1054 984 650
HMCN2 0 1 0 0 1 0
HMCN1 62 41 38 17 12 5
ANAPC2 66 74 53 12 20 28
ANAPC7 376 274 358 534 635 378
NRXN2 11 6 2 0 1 0
RPS6KA1 1453 1183 1334 1000 1277 1307
RPS6KA2 368 260 563 70 61 47
RPS6KA3 940 936 870 1764 1380 498
RPS6KA5 306 359 245 822 915 450
RPS6KA6 7 2 6 8 5 5
PISD 892 947 808 133 257 174
PSMD14 396 224 463 475 556 377
PSMD11 925 815 1288 428 506 297
PSMD10 638 336 600 345 303 179
FTCD 0 1 0 0 0 0
UTP23 359 238 376 125 151 72
UTP20 298 302 249 1361 1146 799
SENP5 1663 1355 1456 1181 987 751
TRDMT1 208 187 235 255 218 120
SMYD1 0 0 3 0 0 0
GANAB 2213 2098 1778 1793 2110 1504
SAYSD1 286 189 212 244 276 222
VAPB 404 334 437 392 539 305
NPHP1 4 21 4 21 22 6
SLC7A2 3 8 11 16 12 12
CTH 79 30 32 5 40 37
ARF3 754 652 744 276 384 267
KRT15 0 2 1 7 4 0
ARF6 1062 900 1455 859 983 697
GALNT1 4285 2179 2950 2618 3796 3089
EFCAB6 29 17 18 40 85 1
SCAND1 2 3 2 0 5 2
PRADC1 29 28 11 24 30 65
MYLK2 1 0 3 0 0 0
MYLK3 2 45 7 12 8 13
EID2B 0 0 0 0 0 0
SLC9C2 5 14 2 0 3 0
HILPDA 1 3 3 0 5 15
RDM1 13 16 5 2 11 5
PQLC3 46 38 23 152 119 170
PQLC2 89 107 105 6 10 32
PQLC1 61 77 56 6 13 33
RAB11FIP3 46 68 49 26 64 75
RAB11FIP2 391 418 647 418 386 188
RAB11FIP1 4543 4013 5700 1379 2280 1272
RAB11FIP5 180 112 65 53 72 19
RAB11FIP4 357 287 185 264 313 224
BPIFA2 0 1 0 0 2 0
C7H14orf177 0 2 0 1 0 0
BPIFA1 0 0 0 0 0 0
COL11A1 34 28 16 44 88 20
KIAA1524 244 365 428 228 203 108
METTL22 37 72 51 25 38 16
METTL20 32 39 23 46 52 35
SPP2 0 0 0 0 0 0
MYL6B 33 29 22 7 15 3
GAREM 1 3 2 3 4 0
NRN1L 0 0 0 0 0 0
IFIH1 7721 5956 8355 1389 1732 368
HMGB3 76 44 76 66 40 39
KIAA1033 6242 4782 7942 4542 3962 2648
CHP1 437 372 379 141 202 148
SLITRK4 0 0 0 3 1 0
CHP2 0 2 0 0 1 0
ARL11 84 92 128 15 48 48
ARL10 3 1 2 6 9 18
SLFN12L 190 239 228 552 350 105
ARL15 98 69 170 141 83 123
ARL14 0 1 1 0 0 0
C1H1orf158 1 0 0 0 0 0
GCHFR 0 0 1 1 0 1
TSPYL5 12 23 6 66 51 63
SCP2D1 0 0 0 0 0 0
BMP10 3 5 2 1 1 1
SLITRK1 0 0 0 1 3 0
KIF4A 126 112 135 62 119 32
ACTL7B 0 2 0 1 0 0
ETNK1 657 448 692 677 712 457
CLIP4 206 195 143 598 364 195
MNDA 25386 15271 29402 8517 19124 4656
HEXDC 102 73 75 31 49 20
ERMARD 0 0 0 0 0 0
DHRS7B 193 94 136 94 144 94
EIF1B 379 308 301 252 287 122
CD48 7457 5141 8599 4553 5316 3552
TRIM65 1 1 2 0 0 3
MND1 31 31 46 44 185 24
CD47 2314 2654 4657 1852 1736 1406
CA14 18 22 24 11 16 16
CA13 42 45 27 85 35 183
CA12 8 5 7 1 1 0
CA10 1 1 0 0 1 0
FGFR1OP 68 50 81 144 150 78
PDX1 0 0 0 0 0 0
RAB20 222 181 292 19 36 32
RAB21 752 592 966 251 248 157
ADRA1B 0 0 1 0 0 0
RAB24 625 739 694 62 83 68
RAB25 1 0 1 3 0 7
RAB28 589 325 579 370 398 207
GLRA1 2 9 6 12 8 0
DZIP1L 57 7 7 15 28 7
GLRA4 0 0 0 0 0 0
FAR1 2884 2019 2452 2397 2072 860
ACTR1B 63 50 40 23 47 120
CCDC51 31 15 16 20 52 63
WDR73 44 58 28 59 58 40
WDR72 2 1 2 1 0 0
WDR75 224 169 147 553 579 330
WDR74 125 122 165 100 110 131
WDR76 110 81 88 240 216 115
CD74 367 916 182 1220 2240 6208
DHX29 1031 865 1227 896 905 427
NTAN1 431 424 658 377 371 236
PPP2R3A 79 62 42 53 54 20
NQO2 388 320 290 73 100 54
RIBC1 8 9 10 7 7 2
NQO1 40 38 35 2 8 36
SFMBT2 92 77 51 202 151 174
RNF216 1177 1246 1029 808 826 621
PRPF3 1771 1408 1393 551 610 319
SDF2L1 4 10 11 9 12 20
PRPF4 321 287 298 316 315 271
CD72 11 70 7 96 54 390
ZIC4 2 0 1 2 0 0
CD177 1897 4674 11666 24 11 72
CA8 10 2 7 32 31 7
CLEC1A 25 28 39 40 32 4
CLEC1B 1223 306 423 785 705 1477
NID1 52 65 99 5 7 3
ZFP64 5 3 2 13 15 8
PIP4K2C 681 739 791 279 312 184
TPCN2 303 225 242 56 105 83
IL31RA 2 8 2 2 5 0
ARL14EP 52 56 60 189 179 90
LEFTY1 27 15 31 151 103 47
ARRDC4 2051 1425 2804 457 669 239
ARRDC5 0 1 3 8 2 9
ARRDC1 0 0 0 0 0 0
ARRDC2 1150 760 1000 159 226 200
ARRDC3 2429 2445 6684 1859 1775 1176
FAM120AOS 100 90 124 31 59 11
MYL3 0 1 0 0 0 0
CCDC64B 3 12 11 0 1 0
RAB27B 1685 547 580 982 791 1229
SH3BP5 0 0 0 0 0 0
KIAA1958 82 74 89 68 61 55
CSAD 100 112 62 11 31 18
RABGAP1L 1244 898 1248 3905 5188 2434
PLEKHG2 34 45 23 20 30 25
ELK3 456 400 326 422 358 190
ELK1 242 166 143 25 56 26
GPHB5 0 1 0 0 0 0
LSAMP 0 0 0 0 1 0
PAK4 11 14 12 1 7 10
LRIG3 1 4 5 17 4 0
STRADA 261 268 230 88 113 89
PAK2 3180 3031 3846 1703 1902 908
KIF12 1 0 0 0 0 0
NSDHL 69 69 101 139 116 141
NEU1 1319 1099 1319 112 146 186
KCNG1 0 0 0 0 1 0
KCNG2 0 0 0 0 0 0
KCNG3 4 2 2 19 13 3
KCNG4 0 0 0 0 1 0
NUBPL 4 5 5 28 51 34
AADAT 3 3 2 10 7 1
GAST 1 1 0 0 0 0
CBX4 27 27 35 8 17 22
DEFB110 0 0 0 0 1 0
CBX3 91 78 89 60 106 49
CALCRL 33 21 33 276 238 130
DEFB118 0 0 0 0 0 0
CBX2 1 0 1 0 0 0
LCN15 0 0 0 0 0 0
DMBT1 0 0 0 0 0 0
AXDND1 6 5 2 5 9 8
PRKG1 142 53 58 64 47 50
CBX1 31 21 23 25 30 18
LCN12 0 0 0 0 0 0
TRAF3IP3 603 694 1072 891 755 730
COLEC12 18 6 12 3 4 5
TRAF3IP1 14 9 9 50 66 41
TNS4 4 3 3 0 2 0
NEU3 135 82 112 144 151 169
CD5L 1 2 0 30 15 12
NLRP6 1 0 0 1 2 4
ZNF777 19 27 13 24 20 7
ARGLU1 1025 1034 1253 762 622 360
NLRP1 0 0 0 0 0 0
ADARB2 0 4 5 0 0 0
CROCC 0 0 0 0 0 0
ZNF774 2 3 5 2 0 0
ENPP4 556 214 554 1098 933 320
ZNF775 2 0 1 0 0 0
CD164L2 6 3 1 1 0 0
GLYCTK 14 16 18 7 10 7
CALML6 0 1 3 0 0 0
CALML5 0 0 0 0 0 0
CALML4 36 32 27 44 30 34
NUBP2 4 5 3 0 2 7
TMEM211 0 2 0 0 0 0
TMEM210 0 0 0 0 0 0
PFN4 1 1 0 1 3 0
TMEM215 1 1 0 2 0 0
SHISA3 0 0 0 2 0 0
ILKAP 569 636 578 512 748 204
TMEM219 243 172 135 121 231 235
SHISA9 0 0 0 0 0 0
ANKRD13D 155 148 141 24 45 81
BTLA 44 38 19 400 225 446
ANKRD13B 2 3 3 3 5 4
WRAP53 57 57 43 30 37 48
KIAA1468 1348 1240 1402 1439 1287 645
KIAA1467 277 282 519 50 55 29
NLRP9 0 0 0 0 0 0
UGT2A3 0 0 1 0 0 0
KIAA1462 79 81 68 24 26 52
SCN10A 3 2 1 1 3 0
PDGFRL 0 1 1 0 0 0
TMSB10 7626 8674 9343 2142 4372 4316
PPA1 371 252 502 546 490 347
MCTP1 775 768 1158 989 946 720
HEXB 3259 3595 4839 1056 1684 865
BET1 87 34 45 137 153 43
C18H18orf25 704 695 1225 393 385 286
ETF1 5398 3203 5115 1567 1965 947
FBXW9 4 8 5 0 0 1
TMEM150B 104 60 52 5 3 8
SIPA1 493 560 516 57 124 195
FOXB1 0 0 0 1 0 0
FBXW4 291 239 388 298 279 381
CA7 0 0 1 3 0 0
FBXW7 3053 2798 4678 2510 2458 1761
TGFBR2 4421 5144 4935 2003 2374 1356
TGFBR1 409 347 643 528 428 291
CDCP2 0 1 0 0 0 0
SH3RF3 0 3 0 1 0 5
SMNDC1 739 659 799 263 217 135
OPN5 0 1 1 1 0 0
FAM159A 0 0 1 0 0 0
SSX2IP 108 39 61 281 285 157
YKT6 889 988 1085 190 199 133
B4GALT2 8 4 5 4 6 6
PCIF1 584 483 487 95 126 119
PDS5B 1498 1270 1216 1971 1820 892
TJP2 324 123 105 200 151 51
TJP3 4 2 1 2 1 0
GKAP1 25 41 15 87 171 33
SH3PXD2B 30 23 7 4 28 3
TUB 2 5 5 10 9 7
SH3PXD2A 7 8 6 1 7 0
AQP5 0 0 0 0 0 0
LYSMD2 74 51 73 130 143 68
AGRP 0 0 0 0 0 0
TPK1 3 6 6 40 56 23
NFYA 524 511 624 521 501 335
RABL6 89 115 84 28 105 89
RABL5 13 8 9 22 18 13
CCNI2 2 4 2 3 0 5
PDK1 303 464 391 747 378 272
SYCN 0 0 0 0 0 0
PACRGL 101 60 104 214 290 138
FYN 349 288 187 803 732 284
RAB1A 1098 1157 1521 123 153 74
TOR1A 843 800 999 338 493 266
TOR1B 972 694 783 158 207 86
CCT6A 612 627 651 1494 1377 955
OSTN 0 0 2 0 0 0
GPHA2 6 8 7 2 3 0
RUFY1 127 107 184 99 108 69
RUFY2 117 137 119 333 357 184
FCGR2B 18981 15556 13989 939 1714 1175
OSTC 63 34 70 78 98 55
NLE1 23 9 44 15 30 37
SKIL 1090 738 1344 295 204 181
CYTH1 851 761 944 556 466 255
TANK 5050 3432 6510 1188 1339 855
CYTH3 12 9 13 14 14 12
COL6A3 4 5 4 11 12 8
DPH2 8 7 10 9 7 12
MYH7B 55 49 62 6 10 22
SUN5 0 0 1 0 0 0
SPAST 692 456 558 593 682 416
CALCR 1 0 1 2 3 0
PSAPL1 0 0 0 0 0 0
AGR2 4 1 1 3 2 0
AGR3 0 1 3 2 2 0
WIBG 52 41 56 109 117 96
MAN2A2 0 0 0 0 0 0
CANT1 276 287 312 42 76 45
CALCA 0 1 1 0 2 0
CALCB 0 1 0 0 0 0
LCTL 21 13 17 34 25 11
TM2D1 330 199 387 297 478 233
CKM 0 3 0 1 0 0
PECR 179 123 156 112 305 119
MST1 9 7 7 6 5 21
COMMD3 179 118 115 364 319 236
SLK 4858 3744 6011 3150 3686 1479
BMP7 0 0 0 0 1 0
TRIM63 0 2 1 3 1 10
ACSM1 1 2 3 0 1 0
ACSM3 83 50 70 560 1538 241
ACSM5 0 1 0 0 2 0
DCC 5 2 0 3 2 0
NDC1 0 0 0 0 0 0
TAF4B 54 43 35 126 110 24
DCX 1 0 0 2 0 0
EIF4ENIF1 288 311 302 256 329 193
CUL5 1567 1152 2058 1956 2020 1108
CUL2 641 690 838 635 687 331
TRIM28 492 443 353 260 392 439
TRIM29 0 2 0 0 0 0
PNKP 134 151 157 35 68 65
CDH20 4 7 0 11 3 70
CDH22 4 4 1 0 2 0
CDH23 0 0 0 0 3 0
CDH24 2 3 3 0 6 5
TDRKH 8 10 7 35 65 8
TRIM23 398 238 240 581 567 371
FLRT1 6 1 3 0 0 1
PER2 142 160 192 38 35 61
FLRT3 0 4 1 0 1 1
FLRT2 0 2 1 0 0 1
GDF15 13 11 22 0 0 0
KAT8 53 33 41 31 57 53
COMMD9 305 408 535 92 230 101
VTA1 906 700 1405 573 699 235
KAT5 369 307 319 122 159 156
HNMT 2 0 0 34 291 16
F2R 841 487 489 657 1179 815
FGD2 74 36 38 299 688 779
AES 459 264 142 210 277 404
PNRC2 3803 2834 5863 2817 2548 1927
DNAJC28 17 14 9 25 22 26
DNAJC27 55 50 43 89 77 68
GNAO1 13 7 5 3 1 2
MROH2B 1 4 2 4 1 0
NTSR2 0 0 1 0 0 0
GAPDH 12508 9734 10984 1209 2882 1456
DNAJC21 208 191 211 240 438 194
NTSR1 0 0 0 0 0 0
DTD2 32 52 37 97 207 95
TOMM20L 0 4 3 2 3 0
ARHGAP5 1174 675 622 3525 4544 1508
ARHGAP6 668 257 196 575 748 478
LHFPL3 1 2 0 0 2 0
ARHGAP1 752 874 590 352 483 345
FAM196A 37 7 27 194 154 82
PRLR 5 9 0 1 0 0
TMEM79 10 16 14 5 6 17
ZYX 768 1326 755 54 139 87
KIF7 4 7 2 1 0 0
TMEM70 137 107 119 155 214 136
ANXA10 77 80 80 8 2 1
TMEM72 3 6 18 1 0 0
TMEM74 0 0 0 2 2 0
PLVAP 12 11 11 49 241 62
SLC39A13 159 189 158 17 35 51
FAM86A 4 1 1 1 5 2
SLA 6923 7363 17374 621 674 456
HSPA4L 39 73 82 8 29 7
KCNQ3 2 3 2 2 0 0
MRPL4 4 6 5 3 6 8
MRPL2 29 30 35 33 35 22
RPUSD1 5 2 4 0 2 4
RPUSD3 18 18 14 14 31 29
ZFAT 145 152 123 121 96 102
MRPL9 99 102 92 222 281 197
HOXC11 1 0 0 1 2 0
ZNF613 165 235 305 121 120 75
ZNF615 1121 1123 1765 439 333 322
ZNF616 525 462 423 311 331 227
ZNF619 32 38 35 52 76 81
ZNF618 17 13 8 23 25 18
SLC3A1 2 4 5 5 1 2
MOK 9 12 15 3 7 2
EIF4EBP1 13 2 10 2 12 11
EIF4EBP3 82 77 62 26 30 29
ASPRV1 4 6 28 0 0 0
MS4A10 0 0 0 0 1 0
MS4A12 2 3 0 0 0 0
EDDM3B 0 1 2 0 0 0
FGA 2 15 1 0 0 0
BAG3 92 126 80 31 40 28
BAG1 391 373 307 152 182 170
KMO 263 79 84 497 428 236
SH2D1A 74 46 36 566 397 219
RTKN 5 6 2 2 1 0
MSRB3 112 44 86 7 7 6
C20H16orf45 7 3 1 20 28 2
SLC39A1 437 577 863 130 229 123
CD79B 9 45 10 64 88 939
MEOX1 0 2 0 0 1 0
MEOX2 2 1 4 0 2 0
SLC34A1 1 0 0 0 0 0
ATXN1L 234 186 301 26 34 57
CBLN4 0 0 0 0 1 0
GMFB 368 296 693 135 183 149
SLC34A3 0 1 0 0 0 3
UTP11L 116 66 111 185 248 268
XIRP2 28 12 13 9 5 20
SLC39A7 580 494 541 243 212 210
PDHA2 0 0 0 0 0 0
PDHA1 160 169 155 84 131 53
COL4A3BP 1167 970 1258 525 635 253
MZF1 6 8 2 2 4 1
ATXN10 446 367 345 1308 1331 1056
FSCN2 0 3 8 0 0 0
FSCN1 0 0 1 0 0 0
SLPI 0 1 0 0 0 0
CD244 87 67 33 235 335 76
ILVBL 13 9 18 9 14 31
MYL12A 5370 4166 7416 4419 2710 5780
TSTA3 55 70 76 31 59 80
RPS6KC1 3696 2376 3877 1110 1270 472
EPN3 0 0 0 0 1 0
MRPS14 52 47 41 73 122 70
RFPL4B 0 1 0 0 0 0
RILPL1 5 17 12 7 10 12
RILPL2 1307 1449 2459 247 356 286
IDO2 41 52 83 1 1 0
TMPO 2564 2025 3565 3045 3408 1894
NLRP13 1 2 2 1 3 0
ZBTB25 54 52 61 127 99 67
LDHAL6B 1 2 1 8 16 5
ECM2 0 0 0 0 0 0
ECM1 92 98 66 19 27 32
SMCR8 1136 1290 1660 465 557 346
HHAT 4 6 6 17 40 4
FMR1 1031 1275 1544 432 394 205
SMCR7 46 40 56 7 24 30
SEL1L3 4455 4875 8199 2145 1956 2682
SEL1L2 1 1 1 2 3 0
LYPD4 2 1 2 0 0 0
LYPD5 0 0 0 0 0 0
LYPD2 0 0 0 0 0 0
LYPD3 0 0 0 0 0 0
CALCOCO1 481 362 400 374 470 575
NAP1L2 4 2 2 43 79 13
NAP1L3 0 0 0 1 2 0
NAP1L4 1852 1654 2701 1712 2757 1036
CATSPER1 0 1 0 0 0 0
CATSPER2 57 68 97 143 138 21
SLCO4C1 978 659 1086 125 110 41
RGS4 3 1 2 0 2 0
RGS6 21 22 8 75 65 61
LRRC8C 320 170 162 943 876 299
RGS1 277 207 160 378 482 487
RGS2 7158 1628 1999 2402 2963 738
RGS8 0 0 0 0 0 0
RGS9 64 18 32 144 107 40
APMAP 4027 2802 4289 592 652 393
RBFA 134 117 44 80 156 239
PGLYRP4 2 26 1 0 0 0
PTH 0 0 0 0 0 0
COL19A1 0 4 0 5 1 0
CATSPERD 1 2 0 2 1 0
SERTAD4 0 0 0 1 0 0
CATSPERG 20 24 27 5 9 0
GHRL 43 86 90 13 7 1
RDH14 53 43 66 108 108 46
KANK4 8 4 10 4 2 0
RDH10 172 81 96 206 232 215
KANK1 16 15 11 6 10 2
CKB 0 1 1 0 0 0
FAM178A 749 622 987 2156 2099 1057
MGARP 6 4 6 4 8 4
KIAA1841 36 25 34 106 135 86
WDR5B 125 121 116 65 91 85
GADD45A 672 942 1727 362 381 96
TARSL2 33 68 60 402 444 82
ENOSF1 34 48 40 21 169 8
NALCN 2 0 2 3 0 0
NUCB1 1072 1087 965 127 409 409
PTP4A1 1294 1165 1337 433 377 338
HSDL2 139 92 79 144 222 150
PTP4A3 2 0 1 0 4 2
VIPR2 2 1 1 1 0 2
ZSCAN26 31 35 37 144 137 111
NUCB2 392 168 269 584 711 811
ZSCAN21 88 62 72 69 78 89
ZSCAN23 1 0 2 0 0 1
MLYCD 98 94 63 75 115 51
TDRD9 5 6 0 0 2 0
TRHDE 20 11 1 22 72 35
TDRD3 716 413 858 1254 1356 965
CD22 95 148 128 238 147 667
TDRD1 0 0 4 13 7 23
IFI35 1279 1470 1682 81 162 157
TDRD7 3301 2799 4547 700 790 390
GPR1 2 1 0 0 3 0
IFI30 9189 7355 7385 651 1807 1161
UNC5B 2 3 2 0 3 1
ABHD8 7 10 6 0 4 3
MYLIP 1635 1944 2267 703 515 572
OTUD1 88 100 56 54 55 29
ABHD1 9 21 23 7 3 4
GPX8 5 2 3 3 4 3
ABHD4 290 217 203 56 73 79
ABHD5 845 465 935 248 536 99
TWF1 602 530 1117 380 445 298
WDR55 210 274 352 190 228 207
WDR53 21 8 9 14 15 6
EIF4G2 18822 18537 24733 12198 10606 7413
SERHL2 8 38 39 5 4 14
WDR59 128 86 51 108 155 85
FAT3 0 0 0 0 1 5
FAT1 3 6 3 2 9 3
GRB2 1743 1676 2517 693 762 623
GRB7 13 10 1 2 3 2
FAT4 8 8 10 2 2 0
FNDC4 0 0 0 2 1 0
HOXC9 0 1 0 0 0 0
HOXC5 0 0 0 0 0 0
HOXC4 0 0 0 1 2 0
HOXC6 0 0 0 0 0 0
CD151 270 191 174 26 106 170
SSU72 652 612 729 234 374 311
HCST 15 5 12 11 13 27
E2F8 54 37 50 28 37 37
FAM200A 102 49 79 58 49 18
UROC1 0 0 0 0 0 0
COL2A1 5 8 4 3 6 0
CSTL1 2 0 0 0 0 0
LSM4 32 17 9 27 51 67
COL27A1 1 2 0 0 1 0
HTRA3 0 0 0 0 0 0
MFSD3 2 1 0 1 5 2
DSG2 31 3 7 1 25 12
HMBS 266 177 152 27 46 17
DIRC2 258 229 288 133 180 70
CASP5 2746 1812 4913 115 186 9
RAB5C 2252 1844 2042 254 421 227
POLR2D 210 197 255 132 131 100
POLR2F 118 134 145 37 77 112
LSM2 70 61 96 38 35 27
AKR7A3 25 5 7 26 45 38
POLR2I 10 10 13 9 28 10
POLR2H 71 61 69 85 95 80
FAM47C 0 1 0 0 1 0
USP54 96 106 96 121 169 62
USP53 135 165 91 443 190 153
USP50 5 10 3 6 5 0
USP51 0 0 0 0 0 0
MBD5 151 159 148 234 240 108
BATF2 51 62 38 1 3 0
ASCC2 427 461 398 351 553 208
AGO1 635 568 550 753 637 406
DDA1 70 83 85 19 34 25
CEACAM18 2 7 15 1 0 0
GAMT 1 4 2 3 2 19
VBP1 607 359 836 538 543 457
FAM120C 66 57 47 46 45 52
MAPK15 0 2 0 0 1 0
MAPK10 4 3 0 5 4 0
MAPK11 13 12 8 5 9 4
HPGD 25 2 6 4 0 8
FZD1 11 9 6 1 6 4
FZD2 0 0 0 2 0 10
FZD3 10 1 3 9 4 16
FZD4 20 2 21 7 14 0
FZD6 365 29 66 10 26 5
IQUB 24 17 8 24 17 5
FZD8 0 0 0 0 0 0
CACNB2 8 4 4 30 7 9
CACNB1 12 8 6 8 7 12
CACNB4 4 2 2 7 5 23
DHCR24 11 20 3 13 16 18
UTS2B 1 0 0 6 0 31
RPS5 1079 903 675 930 2060 4174
ATP12A 1 2 2 0 0 0
CTRB2 0 0 0 0 0 0
PLCD3 74 41 53 1 2 1
ANKZF1 238 280 205 388 448 359
ITFG3 77 85 57 37 72 79
B3GALNT2 67 45 40 153 167 107
ITFG1 860 617 1018 766 740 359
TACC2 7 8 8 0 5 5
TACC3 196 183 227 99 166 181
JDP2 556 516 896 31 56 81
PICK1 7 8 5 6 7 7
MTSS1 203 285 104 356 428 413
TMEM238 1 0 0 0 0 0
CLEC4F 0 1 0 0 0 0
TMEM236 11 8 6 2 2 0
TMEM231 5 0 0 4 11 13
TMEM230 155 140 252 248 336 200
TMEM232 2 3 4 26 9 1
MKI67 0 1 1 0 0 0
CLEC4D 3442 1329 3226 5 12 1
GNMT 9 14 6 3 5 2
LPXN 355 312 321 657 975 484
FEM1C 1678 1564 2068 740 617 313
RPL3L 1 0 2 0 0 0
ANKHD1 3054 2895 2873 2284 1861 951
GNAT1 1 1 0 0 0 0
GNAT2 127 136 123 58 61 27
HAUS5 17 13 11 7 6 34
BCL2L10 0 0 0 0 0 0
ESCO2 115 56 122 385 543 21
ESCO1 3161 2841 4768 1855 1763 1007
NUP43 9 9 13 21 37 27
CTU2 12 20 19 0 3 20
ZNF557 170 202 168 140 142 96
TMEM151A 0 0 0 0 0 0
NCKAP1 1046 429 473 819 688 637
ZNF551 257 338 244 202 216 108
MSX2 0 0 0 0 0 0
ADRM1 166 172 172 33 59 87
ZNF558 39 30 61 19 25 22
